Timestamp,Mode,Knee_Angle,Trunk_Angle,Quad_Force_N,Status
14:28:49,sitting,43.0,6.2,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,44.0,6.1,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,46.5,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,48.2,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,44.8,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,44.8,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,50.4,6.1,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,54.3,6.1,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,59.1,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,59.3,6.0,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,53.8,5.9,352.0,Ошибка: Угол ног в кресле
14:28:49,sitting,54.8,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,54.7,5.8,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,49.0,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,48.2,5.8,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,48.4,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,44.7,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,43.3,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,46.0,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,49.3,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,50.8,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,48.7,5.8,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,45.7,5.7,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,43.1,5.9,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,41.8,6.0,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,44.1,6.1,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,46.8,6.1,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,55.8,4.0,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,63.4,4.7,352.0,Ошибка: Угол ног в кресле
14:28:50,sitting,79.5,4.9,352.0,Посадка в норме
14:28:50,sitting,85.2,5.1,444.1,Посадка в норме
14:28:50,sitting,96.1,4.3,635.1,Посадка в норме
14:28:50,sitting,84.0,4.5,422.0,Посадка в норме
14:28:50,sitting,88.1,5.9,494.8,Посадка в норме
14:28:51,sitting,74.0,3.7,352.0,Ошибка: Угол ног в кресле
14:28:51,sitting,75.4,4.5,352.0,Посадка в норме
14:28:51,sitting,77.0,4.6,352.0,Посадка в норме
14:28:51,sitting,94.1,4.5,600.8,Посадка в норме
14:28:51,sitting,97.3,4.9,657.0,Посадка в норме
14:28:51,sitting,116.9,5.0,1001.5,Ошибка: Угол ног в кресле
14:28:51,sitting,130.2,3.2,1235.9,Ошибка: Угол ног в кресле
14:28:51,sitting,140.8,3.2,1422.5,Ошибка: Угол ног в кресле
14:28:51,sitting,155.3,3.8,1678.0,Ошибка: Угол ног в кресле
14:28:51,sitting,167.2,4.2,1632.8,Ошибка: Угол ног в кресле
14:28:51,sitting,171.9,4.2,1550.2,Ошибка: Угол ног в кресле
14:28:51,sitting,175.1,4.3,1494.7,Ошибка: Угол ног в кресле
14:28:51,sitting,177.5,4.6,1452.5,Ошибка: Угол ног в кресле
14:28:51,sitting,176.9,5.3,1462.9,Ошибка: Угол ног в кресле
14:28:51,sitting,176.4,5.3,1472.1,Ошибка: Угол ног в кресле
14:28:51,sitting,176.6,5.3,1467.1,Ошибка: Угол ног в кресле
14:28:51,sitting,176.9,5.2,1463.4,Ошибка: Угол ног в кресле
14:28:51,sitting,177.2,5.2,1457.3,Ошибка: Угол ног в кресле
14:28:51,sitting,177.5,5.3,1452.1,Ошибка: Угол ног в кресле
14:28:51,sitting,177.5,5.3,1451.6,Ошибка: Угол ног в кресле
14:28:51,sitting,177.3,5.2,1454.7,Ошибка: Угол ног в кресле
14:28:52,sitting,177.2,5.2,1456.7,Ошибка: Угол ног в кресле
14:28:52,sitting,176.7,5.2,1466.1,Ошибка: Угол ног в кресле
14:28:52,sitting,176.1,5.1,1476.0,Ошибка: Угол ног в кресле
14:28:52,sitting,175.7,5.1,1483.4,Ошибка: Угол ног в кресле
14:28:52,sitting,175.4,5.1,1489.2,Ошибка: Угол ног в кресле
14:28:52,sitting,175.2,5.2,1493.1,Ошибка: Угол ног в кресле
14:28:52,sitting,175.3,5.2,1491.3,Ошибка: Угол ног в кресле
14:28:52,sitting,175.4,5.1,1488.6,Ошибка: Угол ног в кресле
14:28:52,sitting,175.5,5.0,1486.5,Ошибка: Угол ног в кресле
14:28:52,sitting,175.5,4.9,1486.5,Ошибка: Угол ног в кресле
14:28:52,sitting,175.6,4.9,1486.3,Ошибка: Угол ног в кресле
14:28:52,sitting,175.5,4.6,1487.2,Ошибка: Угол ног в кресле
14:28:52,sitting,175.4,4.5,1488.2,Ошибка: Угол ног в кресле
14:28:52,sitting,175.4,4.5,1488.1,Ошибка: Угол ног в кресле
14:28:52,sitting,175.5,4.5,1487.7,Ошибка: Угол ног в кресле
14:28:52,sitting,175.6,4.8,1485.7,Ошибка: Угол ног в кресле
14:28:52,sitting,175.7,4.8,1484.1,Ошибка: Угол ног в кресле
14:28:52,sitting,176.1,4.9,1476.4,Ошибка: Угол ног в кресле
14:28:52,sitting,176.2,4.9,1474.7,Ошибка: Угол ног в кресле
14:28:52,sitting,176.2,4.8,1474.5,Ошибка: Угол ног в кресле
14:28:52,sitting,176.1,4.9,1476.7,Ошибка: Угол ног в кресле
14:28:53,sitting,176.1,4.9,1477.3,Ошибка: Угол ног в кресле
14:28:53,sitting,175.7,5.0,1483.1,Ошибка: Угол ног в кресле
14:28:53,sitting,175.7,5.1,1483.4,Ошибка: Угол ног в кресле
14:28:53,sitting,175.9,5.1,1480.2,Ошибка: Угол ног в кресле
14:28:53,sitting,176.1,5.1,1476.7,Ошибка: Угол ног в кресле
14:28:53,sitting,176.2,5.1,1474.5,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,5.2,1471.3,Ошибка: Угол ног в кресле
14:28:53,sitting,176.3,5.1,1472.4,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,5.0,1472.0,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,4.9,1472.0,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,4.9,1471.8,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,4.9,1472.0,Ошибка: Угол ног в кресле
14:28:53,sitting,176.4,4.8,1471.0,Ошибка: Угол ног в кресле
14:28:53,sitting,176.3,4.9,1472.3,Ошибка: Угол ног в кресле
14:28:53,sitting,176.3,4.8,1473.3,Ошибка: Угол ног в кресле
14:28:53,sitting,176.3,5.0,1472.6,Ошибка: Угол ног в кресле
14:28:53,sitting,176.6,5.0,1467.6,Ошибка: Угол ног в кресле
14:28:53,sitting,176.8,4.9,1463.8,Ошибка: Угол ног в кресле
14:28:53,sitting,176.8,4.8,1464.1,Ошибка: Угол ног в кресле
14:28:53,sitting,176.7,4.8,1465.4,Ошибка: Угол ног в кресле
14:28:53,sitting,176.7,5.1,1466.2,Ошибка: Угол ног в кресле
14:28:53,sitting,176.3,5.2,1473.1,Ошибка: Угол ног в кресле
14:28:54,sitting,176.2,5.2,1474.6,Ошибка: Угол ног в кресле
14:28:54,sitting,176.3,5.2,1473.1,Ошибка: Угол ног в кресле
14:28:54,sitting,176.6,5.1,1468.3,Ошибка: Угол ног в кресле
14:28:54,sitting,177.3,4.7,1456.0,Ошибка: Угол ног в кресле
14:28:54,sitting,177.7,4.8,1447.8,Ошибка: Угол ног в кресле
14:28:54,sitting,177.8,5.0,1445.9,Ошибка: Угол ног в кресле
14:28:54,sitting,177.9,5.0,1445.6,Ошибка: Угол ног в кресле
14:28:54,sitting,177.7,4.9,1448.2,Ошибка: Угол ног в кресле
14:28:54,sitting,177.0,4.8,1461.5,Ошибка: Угол ног в кресле
14:28:54,sitting,176.2,4.9,1475.7,Ошибка: Угол ног в кресле
14:28:54,sitting,175.6,5.0,1486.0,Ошибка: Угол ног в кресле
14:28:54,sitting,175.2,4.9,1493.4,Ошибка: Угол ног в кресле
14:28:54,sitting,174.7,5.2,1501.3,Ошибка: Угол ног в кресле
14:28:54,sitting,174.7,5.0,1500.5,Ошибка: Угол ног в кресле
14:28:54,sitting,175.3,5.2,1489.9,Ошибка: Угол ног в кресле
14:28:54,sitting,175.2,3.7,1491.9,Ошибка: Угол ног в кресле
14:28:54,sitting,175.4,3.8,1489.0,Ошибка: Угол ног в кресле
14:28:54,sitting,175.7,4.1,1484.2,Ошибка: Угол ног в кресле
14:28:54,sitting,175.4,4.2,1488.6,Ошибка: Угол ног в кресле
14:28:54,sitting,174.9,4.3,1497.4,Ошибка: Угол ног в кресле
14:28:54,sitting,175.2,4.6,1492.7,Ошибка: Угол ног в кресле
14:28:55,sitting,175.7,4.5,1484.3,Ошибка: Угол ног в кресле
14:28:55,sitting,176.4,4.6,1471.7,Ошибка: Угол ног в кресле
14:28:55,sitting,176.3,4.9,1473.7,Ошибка: Угол ног в кресле
14:28:55,sitting,174.7,5.1,1501.7,Ошибка: Угол ног в кресле
14:28:55,sitting,170.2,6.8,1580.3,Ошибка: Угол ног в кресле
14:28:55,sitting,164.6,6.8,1679.1,Ошибка: Угол ног в кресле
14:28:55,sitting,157.6,6.9,1718.6,Ошибка: Угол ног в кресле
14:28:55,sitting,154.2,6.8,1657.3,Ошибка: Угол ног в кресле
14:28:55,sitting,151.0,6.9,1601.9,Ошибка: Угол ног в кресле
14:28:55,sitting,147.8,7.2,1545.5,Ошибка: Угол ног в кресле
14:28:55,sitting,146.5,7.4,1521.7,Ошибка: Угол ног в кресле
14:28:55,sitting,146.6,7.2,1524.6,Ошибка: Угол ног в кресле
14:28:55,sitting,143.7,6.9,1473.0,Ошибка: Угол ног в кресле
14:28:55,sitting,142.5,6.8,1451.8,Ошибка: Угол ног в кресле
14:28:55,sitting,144.3,6.8,1483.3,Ошибка: Угол ног в кресле
14:28:55,sitting,144.9,6.8,1494.2,Ошибка: Угол ног в кресле
14:28:55,sitting,145.0,6.8,1496.5,Ошибка: Угол ног в кресле
14:28:55,sitting,146.0,6.6,1514.4,Ошибка: Угол ног в кресле
14:28:55,sitting,147.5,6.7,1540.5,Ошибка: Угол ног в кресле
14:28:55,sitting,148.4,6.7,1555.2,Ошибка: Угол ног в кресле
14:28:55,sitting,150.1,6.7,1586.4,Ошибка: Угол ног в кресле
14:28:55,sitting,152.6,6.2,1629.6,Ошибка: Угол ног в кресле
14:28:56,sitting,155.1,6.0,1673.9,Ошибка: Угол ног в кресле
14:28:56,sitting,156.6,5.7,1700.3,Ошибка: Угол ног в кресле
14:28:56,sitting,159.1,5.7,1743.7,Ошибка: Угол ног в кресле
14:28:56,sitting,162.2,5.5,1720.8,Ошибка: Угол ног в кресле
14:28:56,sitting,165.9,5.1,1656.2,Ошибка: Угол ног в кресле
